Name,Team,CoI
George Blaney,NYK,USA
Lance Blanks,DET,USA
Ricky Blanton,CHI,USA
Andray Blatche,WAS,USA
Mookie Blaylock,ATL,USA
Eric Bledsoe,POR,USA
Keljin Blevins,POR,USA
Leon Blevins,NONE,USA
John Block,HOU,USA
Mike Bloom,NONE,USA
Jaron Blossomgame,CLE,USA
Corie Blount,CHI,USA
Mark Blount,BOS,USA
Vander Blue,BOS,USA
Trevon Bluiett,UTA,USA
Ray Blume,CHI,USA
Nelson Bobb,GSW,USA
Tony Bobbitt,LAL,USA
Arlen Bockhorn,SAC,USA
Buddy Boeheim,DET,USA
Tom Boerwinkle,CHI,USA
Keith Bogans,ORL,USA
Bogdan Bogdanovic,ATL,Serbia
Bojan Bogdanovic,NYK,Croatia
Muggsy Bogues,CHA,USA
Andrew Bogut,MIL,Australia
Etdrick Bohannon,LAC,USA
Bol Bol,PHX,Sudan
Manute Bol,WAS,USA
Jonah Bolden,PHI,Australia
Marques Bolden,CHA,USA
Bill Bolger,NONE,USA
Leandro Bolmaro,UTA,Argentina
Joel Bolomboy,UTA,Ukraine
Doug Bolstorff,DET,USA
George H. Bon Salle,WAS,USA
Phil Bond,HOU,USA
Walter Bond,UTA,USA
Jordan Bone,ORL,USA
Dexter Boney,PHX,USA
Isaac Bonga,TOR,Germany
Ron Bonham,BOS,USA
Anthony Bonner,SAC,USA
Matt Bonner,SAS,USA
Devin Booker,PHX,USA
Melvin Booker,GSW,USA
Trevor Booker,WAS,USA
Josh Boone,BKN,USA
Ron Boone,SAC,USA
Calvin Booth,OKC,USA
Keith Booth,CHI,USA
Bob Boozer,SAC,USA
Carlos Boozer,UTA,USA
Curtis Borchardt,UTA,USA
Jake Bornheimer,GSW,USA
Lazaro Borrell,OKC,Cuba
Costic Borsavage,GSW,USA
Vince Boryla,NYK,USA
Chris Bosh,MIA,USA
Jim Bostic,DET,USA
Lawrence Boston,WAS,USA
Brandon Boston Jr.,LAC,USA
Tom Boswell,BOS,USA
Chris Boucher,TOR,Saint Lucia
James Bouknight,CHA,USA
Ruben Boumtje-Boumtje,POR,USA
Jamaree Bouyea,SAS,USA
Don Boven,DET,USA
Cal Bowdler,ATL,USA
Bruce Bowen,SAS,USA
Ryan Bowen,DEN,USA
Brian Bowen II,IND,USA
Anthony Bowie,ORL,USA
Sam Bowie,BKN,USA
Ira Bowman,PHI,USA
Ky Bowman,GSW,USA
Nate Bowman,NYK,USA
Donnie Boyce,ATL,USA
Dennis Boyd,DET,USA
Fred Boyd,PHI,USA
Ken Boyd,UTA,USA
Earl Boykins,DEN,USA
Harry Boykoff,NONE,USA
Winford Boynes,BKN,USA
Cedric Bozeman,ATL,USA
Steve Bracey,ATL,USA
Craig Brackins,PHI,USA
Gary Bradds,WAS,USA
Alex Bradley,NYK,USA
Alonzo Bradley,HOU,USA
Avery Bradley,LAL,USA
Bill Bradley,NYK,USA
Charles Bradley,BOS,USA
Dudley Bradley,IND,USA
Joe Bradley,NONE,USA
Michael Bradley,TOR,USA
Shawn Bradley,DAL,USA
Tony Bradley,CHI,USA
Mark Bradtke,PHI,Australia
Marques Bragg,MIN,USA
Torraye Braggs,HOU,USA
A.J. Bramlett,CLE,USA
Adrian Branch,POR,USA
Elton Brand,LAC,USA
Terrell Brandon,CLE,USA
Malaki Branham,SAS,USA
Bob Brannum,BOS,USA
Brad Branson,IND,USA
Jesse Branson,PHI,USA
Jarrell Brantley,UTA,USA
Jim Brasco,ATL,USA
Mike Bratz,PHX,USA
Carl Braun,NYK,USA
Christian Braun,DEN,USA
Ignas Brazdeikis,ORL,Canada
Tim Breaux,HOU,USA
J.R. Bremer,BOS,USA
Pete Brennan,NYK,USA
Tom Brennan,GSW,USA
Randy Breuer,MIL,USA
Corey Brewer,MIN,USA
Jamison Brewer,IND,USA
Jim Brewer,CLE,USA
Ron Brewer,POR,USA
Ronnie Brewer,UTA,USA
Primoz Brezec,CHA,Slovenia
Frank Brian,DET,USA
Frank Brickowski,MIL,USA
Junior Bridgeman,MIL,USA
Bill Bridges,ATL,USA
Mikal Bridges,BKN,USA
Miles Bridges,CHA,USA
Al Brightman,BOS,USA
Amida Brimah,DEN,USA
Audley Brindley,NYK,USA
Isaiah Briscoe,ORL,USA
John Brisker,OKC,USA
Oshae Brissett,BOS,Canada
Allan Bristow,SAS,USA
Tyrone Britt,HOU,USA
Wayman Britt,DET,USA
Mike Brittain,SAS,USA
David Britton,WAS,USA
Izaiah Brockington,NOP,USA
Jon Brockman,MIL,USA
Ryan Broekhoff,DAL,Australia
Jim Brogan,LAC,USA
Malcolm Brogdon,POR,USA
Gary Brokaw,MIL,USA
Price Brookfield,NONE,USA
Aaron Brooks,HOU,USA
Armoni Brooks,BKN,USA
Dillon Brooks,HOU,Canada
Kevin Brooks,DEN,USA
MarShon Brooks,BKN,USA
Michael Brooks,LAC,USA
Scott Brooks,HOU,USA
Andre Brown,OKC,USA
Anthony Brown,LAL,USA
Bob Brown,NONE,USA
Bobby Brown,SAC,USA
Bruce Brown,TOR,USA
Chucky Brown,CLE,USA
Damone Brown,PHI,USA
Darrell Brown,NONE,USA
Dee Brown,BOS,USA
Dee Brown,UTA,USA
Derrick Brown,CHA,USA
Devin Brown,NOP,USA
Ernest Brown,MIA,USA
Fred Brown,OKC,USA
George Brown,LAL,USA
Gerald Brown,PHX,USA
Harold Brown,NONE,USA
Jabari Brown,LAL,USA
Jaylen Brown,BOS,USA
John Brown,ATL,USA
Kedrick Brown,BOS,USA
Kendall Brown,IND,USA
Kobe Brown,LAC,USA
Kwame Brown,WAS,USA
Leon Brown,NONE,USA
Lewis Brown,WAS,USA
Lorenzo Brown,TOR,USA
Marcus Brown,POR,USA
Markel Brown,BKN,USA
Mike Brown,UTA,USA
Moses Brown,POR,USA
Myron Brown,MIN,USA
P.J. Brown,NOP,USA
Randy Brown,CHI,USA
Raymond Brown,UTA,USA
Rickey Brown,GSW,USA
Roger Brown,DET,USA
Shannon Brown,LAL,USA
Stan Brown,GSW,USA
Sterling Brown,LAL,USA
Tierre Brown,LAL,USA
Tony Brown,MIL,USA
Greg Brown III,DAL,USA
Charlie Brown Jr.,NYK,USA
Chaundee Brown Jr.,ATL,USA
Troy Brown Jr.,DET,USA
Jim Browne,NONE,USA
Stanley Brundy,BKN,USA
Jalen Brunson,NYK,USA
Rick Brunson,POR,USA
Nicolas Brussino,DAL,Argentina
Elijah Bryant,MIL,USA
Emmette Bryant,NYK,USA
Joe Bryant,PHI,USA
Kobe Bryant,LAL,USA
Mark Bryant,POR,USA
Thomas Bryant,MIA,USA
Wallace Bryant,DAL,USA
Torgeir Bryn,LAC,Norway
Shaq Buchanan,MEM,USA
Joe Buckhalter,SAC,USA
Steve Bucknall,LAL,USA
Cleveland Buckner,NYK,USA
Greg Buckner,DAL,USA
Quinn Buckner,MIL,USA
Dave Budd,NYK,USA
Chase Budinger,HOU,USA
Walter Budko,NONE,USA
Jud Buechler,CHI,USA
Kobe Bufkin,ATL,USA
Rodney Buford,BKN,USA
Matt Bullard,HOU,USA
Reggie Bullock Jr.,HOU,USA
Greg Bunch,NYK,USA
Dick Bunt,NONE,USA
Bill Buntin,DET,USA
Luther Burden,NYK,USA
Pat Burke,PHX,Ireland
Trey Burke,DAL,USA
Roger Burkman,CHI,USA
Alec Burks,NYK,USA
Antonio Burks,MEM,USA
Kevin Burleson,CHA,USA
Tom Burleson,OKC,USA
Jack Burmaster,NONE,USA
David Burns,DEN,USA
Evers Burns,SAC,USA
Jim Burns,CHI,USA
Scott Burrell,CHA,USA
Art Burris,ATL,USA
Junior Burrough,BOS,USA
Bob Burrow,SAC,USA
Deonte Burton,OKC,USA
Ed Burton,NYK,USA
Willie Burton,MIA,USA
Steve Burtt,GSW,USA
Don Buse,PHX,USA
Brian Butch,DEN,USA
Donnie Butcher,DET,USA
Al Butler,NYK,USA
Caron Butler,WAS,USA
Da'Sean Butler,SAS,USA
Greg Butler,NYK,USA
Jackie Butler,NYK,USA
Jared Butler,WAS,USA
Jimmy Butler,MIA,USA
Mitchell Butler,WAS,USA
Rasual Butler,NOP,USA
John Butler Jr.,POR,USA
Dwight Buycks,DET,USA
Derrick Byars,SAS,USA
Andrew Bynum,LAL,USA
Will Bynum,DET,USA
Marty Byrnes,IND,USA
Tommy Byrnes,NYK,USA
Mike Bytzura,NONE,USA
Zarko Cabarkapa,GSW,Serbia
Barney Cable,PHI,USA
Bruno Caboclo,HOU,Brazil
Devontae Cacok,POR,USA
Jason Caffey,CHI,USA
Michael Cage,OKC,USA
Jamal Cain,MIA,USA
Gerry Calabrese,PHI,USA
Nick Calathes,MEM,USA
Jose Calderon,TOR,Spain
Adrian Caldwell,HOU,USA
Jim Caldwell,NYK,USA
Joe Caldwell,ATL,USA
Kentavious Caldwell-Pope,DEN,USA
Bill Calhoun,ATL,USA
Corky Calhoun,PHX,USA
Demetrius Calip,LAL,USA
Tom Callahan,NONE,USA
Rick Calloway,SAC,USA
Ernie Calverley,NONE,USA
Mack Calvin,DEN,USA
Toumani Camara,POR,Belgium
Dexter Cambridge,DAL,USA
Marcus Camby,DEN,USA
Facundo Campazzo,DAL,Argentina
Elden Campbell,LAL,USA
Tony Campbell,MIN,USA
Isaiah Canaan,PHI,USA
Vlatko Cancar,DEN,Slovenia
Devin Cannady,ORL,USA
Larry Cannon,PHI,USA
Clint Capela,ATL,Switzerland
Derrick Caracter,LAL,USA
Brian Cardinal,MEM,USA
Vernon Carey Jr.,UTA,USA
Howie Carl,WAS,USA
Chet Carlisle,NONE,USA
Geno Carlisle,POR,USA
Rick Carlisle,BOS,USA
Al Carlson,OKC,USA
Don Carlson,LAL,USA
Bob Carney,LAL,USA
Rodney Carney,PHI,USA
Bob Carpenter,DET,USA
Antoine Carr,ATL,USA
Austin Carr,CLE,USA
Chris Carr,MIN,USA
Cory Carr,CHI,USA
Kenny Carr,POR,USA
M.L. Carr,BOS,USA
Bob Carrington,BKN,USA
DeMarre Carroll,ATL,USA
Joe Barry Carroll,GSW,USA
Matt Carroll,CHA,USA
Jimmy Carruth,MIL,USA
Anthony Carter,MIA,USA
Butch Carter,IND,USA
Fred Carter,PHI,USA
George Carter,DET,USA
Howard Carter,DEN,USA
Jake Carter,NONE,USA
Jevon Carter,CHI,USA
Maurice Carter,NOP,USA
Reggie Carter,NYK,USA
Ron Carter,LAL,USA
Vince Carter,TOR,USA
Wendell Carter Jr.,ORL,USA
Michael Carter-Williams,ORL,USA
D.J. Carton,TOR,USA
Bill Cartwright,NYK,USA
Jay Carty,LAL,USA
Alex Caruso,CHI,USA
Cornelius Cash,DET,USA
Sam Cassell,MIL,USA
Omri Casspi,SAC,Israel
Colin Castleton,LAL,USA
Harvey Catchings,MIL,USA
Terry Catledge,WAS,USA
Sid Catlett,SAC,USA
Kelvin Cato,HOU,USA
Bobby Cattage,UTA,USA
Willie Cauley-Stein,PHI,USA
Troy Caupain,ORL,USA
Duane Causwell,SAC,USA
Tyler Cavanaugh,ATL,USA
Ron Cavenall,NYK,USA
Ahmad Caver,IND,USA
Malcolm Cazalon,DET,France
Cedric Ceballos,PHX,USA
John Celestand,LAL,USA
Al Cervi,PHI,USA
Lionel Chalmers,LAC,USA
Mario Chalmers,MIA,USA
Bill Chamberlain,PHX,USA
Wilt Chamberlain,GSW,USA
Jerry Chambers,PHX,USA
Tom Chambers,OKC,USA
Julian Champagnie,SAS,USA
Justin Champagnie,WAS,USA
Mike Champion,OKC,USA
Kennedy Chandler,MEM,USA
Tyson Chandler,NYK,USA
Wilson Chandler,DEN,USA
Don Chaney,BOS,USA
John Chaney,NONE,USA
Rex Chapman,PHX,USA
Len Chappell,NYK,USA
Ken Charles,LAC,USA
Lorenzo Charles,ATL,USA
Joe Chealey,CHA,USA
Calbert Cheaney,WAS,USA
Zylan Cheatham,NOP,USA
Maurice Cheeks,PHI,USA
Phil Chenier,WAS,USA
Will Cherry,CLE,USA
Derrick Chievous,HOU,USA
Pete Chilcutt,MEM,USA
Josh Childress,ATL,USA
Randolph Childress,POR,USA
Chris Childs,NYK,USA
Chris Chiozza,BKN,USA
Leroy Chollet,PHI,USA
Jim Chones,CLE,USA
Marquese Chriss,DAL,USA
Fred Christ,NYK,USA
Cal Christensen,SAC,USA
Bob Christian,ATL,USA
Doug Christie,SAC,USA
Max Christie,LAL,USA
Dionte Christmas,PHX,USA
Rakeem Christmas,IND,USA
Semaj Christon,OKC,USA
Josh Christopher,UTA,USA
Patrick Christopher,UTA,USA
Robert Churchwell,GSW,USA
Sidy Cissoko,SAS,France
Archie Clark,PHI,USA
Carlos Clark,BOS,USA
Earl Clark,ORL,USA
Gary Clark,NOP,USA
Ian Clark,GSW,USA
Jaylen Clark,MIN,USA
Keon Clark,DEN,USA
Brandon Clarke,MEM,Canada
Coty Clarke,BOS,USA
Jordan Clarkson,UTA,USA
Gian Clavell,DAL,Puerto Rico
Victor Claver,POR,Spain
Charles Claxton,BOS,USA
Nic Claxton,BKN,USA
Speedy Claxton,GSW,USA
Jim Cleamons,CLE,USA
Mateen Cleaves,DET,USA
John Clemens,OKC,USA
Chris Clemons,HOU,USA
Antonius Cleveland,DAL,USA
Nat Clifton,NYK,USA
Bill Closs,GSW,USA
Keith Closs,LAC,USA
Noah Clowney,BKN,USA
Paul Cloyd,NONE,USA
Marion Cluggish,NYK,USA
Ben Clyde,BOS,USA
Amir Coffey,LAC,USA
Richard Coffey,MIN,USA
Fred Cofield,NYK,USA
John Coker,WAS,USA
Norris Cole,MIA,USA
Ben Coleman,PHI,USA
Derrick Coleman,BKN,USA
E.C. Coleman,UTA,USA
Jack Coleman,SAC,USA
Norris Coleman,LAC,USA
Bimbo Coles,MIA,USA
Jason Collier,ATL,USA
Art Collins,ATL,USA
Don Collins,WAS,USA
Doug Collins,PHI,USA
James Collins,LAC,USA
Jarron Collins,UTA,USA
Jason Collins,BKN,USA
Jimmy Collins,CHI,USA
John Collins,UTA,USA
Mardy Collins,NYK,USA
Sherron Collins,CHA,USA
Zach Collins,SAS,USA
Kyle Collinsworth,DAL,USA
Darren Collison,LAL,USA
Nick Collison,OKC,USA
Joe Colone,NYK,USA
Bonzie Colson,MIL,USA
Sean Colson,HOU,USA
Steve Colter,WAS,USA
Chance Comanche,POR,USA
Leroy Combs,IND,USA
Dallas Comegys,BKN,USA
Larry Comley,WAS,USA
Gene Conley,BOS,USA
Mike Conley,MIN,USA
Ed Conlin,PHI,USA
Marty Conlon,MIL,USA
Pat Connaughton,MIL,USA
Lester Conner,GSW,USA
Chuck Connors,BOS,USA
Will Conroy,HOU,USA
Anthony Cook,DEN,USA
Bert Cook,NYK,USA
Bobby Cook,NONE,USA
Brian Cook,LAL,USA
Daequan Cook,MIA,USA
Darwin Cook,BKN,USA
Jeff Cook,PHX,USA
Norm Cook,BOS,USA
Omar Cook,POR,USA
Quinn Cook,SAC,USA
Tyler Cook,CHI,USA
Charles Cooke,NOP,USA
David Cooke,SAC,USA
Joe Cooke,CLE,USA
Xavier Cooks,WAS,Australia
Jack Cooley,UTA,USA
Chuck Cooper,BOS,USA
Duane Cooper,LAL,USA
Joe Cooper,LAC,USA
Michael Cooper,LAL,USA
Sharife Cooper,CLE,USA
Wayne Cooper,DEN,USA
Tom Copa,SAS,USA
Chris Copeland,IND,USA
Hollis Copeland,NYK,USA
Lanard Copeland,PHI,USA
Tyrone Corbin,ATL,USA
Chris Corchiani,ORL,USA
Ken Corley,NONE,USA
Ray Corley,PHI,USA
Petr Cornelie,DEN,France
Dave Corzine,CHI,USA
Larry Costello,PHI,USA
Matt Costello,SAS,USA
Bryce Cotton,UTA,USA
Jack Cotton,NONE,USA
James Cotton,OKC,USA
John Coughran,GSW,USA
Bilal Coulibaly,WAS,France
Ricky Council IV,PHI,USA
Mel Counts,LAL,USA
Steve Courtin,PHI,USA
Joe Courtney,PHX,USA
Marcus Cousin,UTA,USA
DeMarcus Cousins,DEN,USA
Bob Cousy,BOS,USA
Robert Covington,PHI,USA
Dave Cowens,BOS,USA
John Cox,WAS,USA
Johnny Cox,WAS,USA
Wesley Cox,GSW,USA
Allen Crabbe,POR,USA
Torrey Craig,CHI,USA
Chris Crawford,ATL,USA
Freddie Crawford,LAL,USA
Jamal Crawford,LAC,USA
