Year,CoI
2001,0.1935483870967742
2002,0.2
2003,0.3333333333333333
2004,0.13793103448275862
2005,0.2903225806451613
2006,0.12121212121212122
2007,0.3
2008,0.16666666666666666
2009,0.27586206896551724
2010,0.10714285714285714
2011,0.25806451612903225
2012,0.12903225806451613
2013,0.3225806451612903
2014,0.28125
2015,0.28125
2016,0.28125
2017,0.17142857142857143
2018,0.22857142857142856
2019,0.2
2020,0.1388888888888889
2021,0.22857142857142856
2022,0.18421052631578946
2023,0.18181818181818182
